Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
,0.373606028,-0.063355128,P41091,P41091;Q2VIR3;Q2VIR3-2,IF2G_HUMAN,EIF2S3
,0.139492595,-0.063529968,Q96DE5,Q96DE5,APC16_HUMAN,ANAPC16
,0.138292304,-0.063585917,Q13619;Q13619-2,Q13619;Q13619-2,CUL4A_HUMAN,CUL4A
,0.33382674,-0.063809077,P62191,P62191;P62191-2,PRS4_HUMAN,PSMC1
,0.16002233,-0.064820608,Q9UBP0;Q9UBP0-2;Q9UBP0-3;Q9UBP0-4,Q9UBP0;Q9UBP0-2;Q9UBP0-3;Q9UBP0-4,SPAST_HUMAN,SPAST
,0.346796439,-0.065630595,Q8NBU5,Q8NBU5,ATAD1_HUMAN,ATAD1
,0.314891386,-0.065993627,Q9HBE1;Q9HBE1-2;Q9HBE1-3;Q9HBE1-4,Q9HBE1;Q9HBE1-2;Q9HBE1-3;Q9HBE1-4,PATZ1_HUMAN,PATZ1
,0.231604747,-0.066075643,Q7L5Y9,Q7L5Y9;Q7L5Y9-2;Q7L5Y9-3;Q7L5Y9-4;Q7L5Y9-5,MAEA_HUMAN,MAEA
,0.061335942,-0.066340764,P30084,P30084,ECHM_HUMAN,ECHS1
,0.357558311,-0.066486994,P45974;P45974-2,P45974;P45974-2,UBP5_HUMAN,USP5
,0.193160686,-0.066529274,P43003;P43003-2,P43003;P43003-2,EAA1_HUMAN,SLC1A3
,0.300012198,-0.06668663,P60842,P60842;Q14240;Q14240-2,IF4A1_HUMAN,EIF4A1
,0.095035777,-0.066694895,Q58WW2;Q58WW2-2;Q58WW2-3;Q58WW2-4,Q58WW2;Q58WW2-2;Q58WW2-3;Q58WW2-4,DCAF6_HUMAN,DCAF6
,0.220567021,-0.066836675,Q9Y3D8;Q9Y3D8-2,Q9Y3D8;Q9Y3D8-2,KAD6_HUMAN,AK6
,0.069485793,-0.066889763,Q9GZN1,Q9GZN1;Q9GZN1-2,ARP6_HUMAN,ACTR6
,0.330153203,-0.066983541,Q15181,Q15181,IPYR_HUMAN,PPA1
,0.389715296,-0.068105062,Q7L2H7,Q7L2H7,EIF3M_HUMAN,EIF3M
,1.13706866,-0.068546931,Q96SU4;Q96SU4-2;Q96SU4-3;Q96SU4-6;Q96SU4-7,Q96SU4;Q96SU4-2;Q96SU4-3;Q96SU4-4;Q96SU4-5;Q96SU4-6;Q96SU4-7,OSBL9_HUMAN,OSBPL9
,0.309390544,-0.068955104,P68371,P68371,TBB4B_HUMAN,TUBB4B
,0.424708237,-0.068992615,Q9Y5Q8;Q9Y5Q8-2;Q9Y5Q8-3,Q9Y5Q8;Q9Y5Q8-2;Q9Y5Q8-3,TF3C5_HUMAN,GTF3C5
,0.107639352,-0.069194158,O94766;O94766-2,O94766;O94766-2,B3GA3_HUMAN,B3GAT3
,0.14374276,-0.069250743,P82932,P82932,RT06_HUMAN,MRPS6
,0.539325341,-0.069458644,Q01484;Q01484-2;Q01484-5,Q01484;Q01484-2;Q01484-5,ANK2_HUMAN,ANK2
,0.738534936,-0.069519043,P35580;P35580-3,P35580;P35580-2;P35580-3;P35580-4;P35580-5;Q7Z406;Q7Z406-2;Q7Z406-4;Q7Z406-5;Q7Z406-6,MYH10_HUMAN,MYH10
,0.191081596,-0.069633484,P62263,P62263,RS14_HUMAN,RPS14
,0.279025529,-0.070248922,Q9BW61,Q9BW61,DDA1_HUMAN,DDA1
,0.722029632,-0.070333481,O43242,O43242;O43242-2,PSMD3_HUMAN,PSMD3
,0.806105486,-0.071125031,Q8N9T8,Q8N9T8,KRI1_HUMAN,KRI1
,0.346876812,-0.071334203,Q92667;Q92667-2,Q92667;Q92667-2,AKAP1_HUMAN,AKAP1
,0.256147946,-0.071352005,O15372,O15372,EIF3H_HUMAN,EIF3H
,0.300528708,-0.072095235,O00258;O00258-2,O00258;O00258-2,GET1_HUMAN,GET1
,0.740875985,-0.073286692,O95299,O95299;O95299-2,NDUAA_HUMAN,NDUFA10
,0.36187103,-0.074460983,P55212,P55212;P55212-2,CASP6_HUMAN,CASP6
,0.172033789,-0.074888865,Q6NUK1;Q6NUK1-2,Q6NUK1;Q6NUK1-2,SCMC1_HUMAN,SLC25A24
,0.443099619,-0.074899673,Q9H9Y6;Q9H9Y6-3;Q9H9Y6-5,Q9H9Y6;Q9H9Y6-2;Q9H9Y6-3;Q9H9Y6-4;Q9H9Y6-5,RPA2_HUMAN,POLR1B
,0.252913554,-0.075611115,P33240;P33240-2,P33240;P33240-2,CSTF2_HUMAN,CSTF2
,0.401761936,-0.075943629,P61247,P61247,RS3A_HUMAN,RPS3A
,0.307386745,-0.076161067,Q13535;Q13535-2;Q13535-3,Q13535;Q13535-2;Q13535-3,ATR_HUMAN,ATR
,0.387812739,-0.076360067,P08574,P08574,CY1_HUMAN,CYC1
,0.162699107,-0.07665952,P30291;P30291-2,P30291;P30291-2,WEE1_HUMAN,WEE1
,0.26091641,-0.076712926,P63092;P63092-2;P63092-3;P63092-4;Q5JWF2;Q5JWF2-2,P63092;P63092-2;P63092-3;P63092-4;Q5JWF2;Q5JWF2-2,GNAS1_HUMAN;GNAS2_HUMAN,GNAS
,0.357452972,-0.077185313,P22102,P22102;P22102-2,PUR2_HUMAN,GART
,0.058505619,-0.077677091,Q8N5M9,Q8N5M9,JAGN1_HUMAN,JAGN1
,0.058115339,-0.077724457,Q14442,Q14442,PIGH_HUMAN,PIGH
,0.348530584,-0.077859879,P61803,P61803,DAD1_HUMAN,DAD1
,0.081970248,-0.078325907,Q86T03;Q86T03-2,Q86T03;Q86T03-2,PP4P1_HUMAN,PIP4P1
,0.534722831,-0.078658422,P55072,P55072,TERA_HUMAN,VCP
,0.800620976,-0.079345067,P61962,P61962,DCAF7_HUMAN,DCAF7
,0.163619535,-0.079392115,P27816;P27816-6,P27816;P27816-2;P27816-6,MAP4_HUMAN,MAP4
,0.13142911,-0.079457601,Q14691,Q14691,PSF1_HUMAN,GINS1
,0.241674222,-0.079531988,Q16630;Q16630-2;Q16630-3,Q16630;Q16630-2;Q16630-3,CPSF6_HUMAN,CPSF6
,0.475101068,-0.079809189,P35237,P35237,SPB6_HUMAN,SERPINB6
,0.298803307,-0.080430984,Q9H3G5,Q9H3G5,CPVL_HUMAN,CPVL
,0.514194541,-0.080444972,P61019,P61019;Q8WUD1,RAB2A_HUMAN,RAB2A
,0.172735767,-0.080645879,Q96RQ1,Q96RQ1,ERGI2_HUMAN,ERGIC2
,0.654498076,-0.080662409,O75718,O75718,CRTAP_HUMAN,CRTAP
,0.051724607,-0.080816587,P23378,P23378,GCSP_HUMAN,GLDC
,0.043422748,-0.081404686,O75376;O75376-2,O75376;O75376-2,NCOR1_HUMAN,NCOR1
,0.198307764,-0.08142217,Q8NEN9,Q8NEN9,PDZD8_HUMAN,PDZD8
,0.166487545,-0.08155632,O60476,O60476,MA1A2_HUMAN,MAN1A2
,0.643986377,-0.081958135,P63165,G2XKQ0;P63165,SUMO1_HUMAN,SUMO1
,0.286877792,-0.082555135,Q8WVJ2,Q8WVJ2,NUDC2_HUMAN,NUDCD2
,0.496757274,-0.08265686,Q9H871,Q9H871,RMD5A_HUMAN,RMND5A
,0.28326264,-0.083662669,Q9H2J4,Q9H2J4,PDCL3_HUMAN,PDCL3
,0.722017387,-0.08437856,Q9H7Z7,Q9H7Z7,PGES2_HUMAN,PTGES2
,0.388222772,-0.084875107,Q8WXX5,Q8WXX5,DNJC9_HUMAN,DNAJC9
,0.624209978,-0.085027695,O43805,O43805,SSNA1_HUMAN,SSNA1
,0.444244168,-0.08612442,Q96AX1,Q96AX1,VP33A_HUMAN,VPS33A
,0.302224448,-0.086301804,Q9BUB5;Q9BUB5-2;Q9BUB5-3,Q9BUB5;Q9BUB5-2;Q9BUB5-3,MKNK1_HUMAN,MKNK1
,0.109750282,-0.086324056,Q9BRX9,Q9BRX9,WDR83_HUMAN,WDR83
,0.656909159,-0.086491903,Q5VW36,Q5VW36,FOCAD_HUMAN,FOCAD
,0.527117992,-0.086909612,Q6SPF0,Q6SPF0,SAMD1_HUMAN,SAMD1
,0.117204856,-0.08718586,Q14554;Q14554-2,Q14554;Q14554-2,PDIA5_HUMAN,PDIA5
,0.040681945,-0.088040352,Q2TAL8,Q2TAL8,QRIC1_HUMAN,QRICH1
,0.484938376,-0.088350932,Q9Y262,Q9Y262;Q9Y262-2,EIF3L_HUMAN,EIF3L
,0.722630916,-0.089654287,O60547;O60547-2,O60547;O60547-2,GMDS_HUMAN,GMDS
,0.56220151,-0.090171814,Q12802;Q12802-2;Q12802-4,Q12802;Q12802-2;Q12802-4,AKP13_HUMAN,AKAP13
,0.221779801,-0.090494792,Q9H1I8,Q9H1I8,ASCC2_HUMAN,ASCC2
,0.799746089,-0.09079361,P55265;P55265-2;P55265-3;P55265-4,P55265;P55265-2;P55265-3;P55265-4;P55265-5,DSRAD_HUMAN,ADAR
,0.370355293,-0.09126091,P48426;P48426-2,P48426;P48426-2,PI42A_HUMAN,PIP4K2A
,0.279509563,-0.091947556,Q9BQ70,Q9BQ70,TCF25_HUMAN,TCF25
,0.37492689,-0.09252739,P11182,P11182,ODB2_HUMAN,DBT
,0.4107694,-0.092662175,Q8NBS9;Q8NBS9-2,Q8NBS9;Q8NBS9-2,TXND5_HUMAN,TXNDC5
,0.19307267,-0.093261719,P98194;P98194-2;P98194-3;P98194-4;P98194-5;P98194-6;P98194-7;P98194-8;P98194-9,P98194;P98194-2;P98194-3;P98194-4;P98194-5;P98194-6;P98194-7;P98194-8;P98194-9,AT2C1_HUMAN,ATP2C1
,0.76581365,-0.093446096,Q6ZTW0,Q6ZTW0,TPGS1_HUMAN,TPGS1
,0.260313441,-0.093601863,P28290,P28290;P28290-3,ITPI2_HUMAN,ITPRID2
,0.322711358,-0.094575882,Q8TCJ2,Q8TCJ2,STT3B_HUMAN,STT3B
,0.216460186,-0.094881058,Q7L775,Q7L775,EPMIP_HUMAN,EPM2AIP1
,0.160791627,-0.09489727,Q4L235;Q4L235-2;Q4L235-3;Q4L235-4,Q4L235;Q4L235-2;Q4L235-3;Q4L235-4,ACSF4_HUMAN,AASDH
,0.083352845,-0.095024745,Q8N129,Q8N129,CNPY4_HUMAN,CNPY4
,0.137286813,-0.095374425,Q8NCW5;Q8NCW5-2,Q8NCW5;Q8NCW5-2,NNRE_HUMAN,NAXE
,0.191050413,-0.09561348,P46783,P46783,RS10_HUMAN,RPS10
,0.131287017,-0.09615008,P17931,P17931,LEG3_HUMAN,LGALS3
,0.100815369,-0.096209208,Q9H0P0;Q9H0P0-1;Q9H0P0-2;Q9H0P0-3,Q9H0P0;Q9H0P0-1;Q9H0P0-2;Q9H0P0-3,5NT3A_HUMAN,NT5C3A
,0.115835026,-0.096607844,Q9HD34,Q9HD34,LYRM4_HUMAN,LYRM4
,0.175152988,-0.096661886,Q09666,Q09666,AHNK_HUMAN,AHNAK
,0.378963142,-0.097373327,Q13885,Q13885,TBB2A_HUMAN,TUBB2A
,0.838852453,-0.09784317,P07910;P07910-2;P07910-4,P07910;P07910-2;P07910-3;P07910-4,HNRPC_HUMAN,HNRNPC
,1.441615293,-0.098204931,P11021,P11021,BIP_HUMAN,HSPA5
,0.71818468,-0.098475138,P62875,P62875,RPAB5_HUMAN,POLR2L
,0.476171717,-0.098649979,P21796,P21796,VDAC1_HUMAN,VDAC1
,0.12803769,-0.098938624,Q53GT1,Q53GT1,KLH22_HUMAN,KLHL22
,0.105927754,-0.099357605,P15924,P15924;P15924-2;P15924-3,DESP_HUMAN,DSP
,0.541075138,-0.099439621,Q00587;Q00587-2,Q00587;Q00587-2,BORG5_HUMAN,CDC42EP1
,1.268892161,-0.099699656,P05198,P05198,IF2A_HUMAN,EIF2S1
,0.111922679,-0.100414594,Q12948,Q12948,FOXC1_HUMAN,FOXC1
,0.273976569,-0.100675583,Q9NZ01,Q9NZ01,TECR_HUMAN,TECR
,0.629386214,-0.100772858,Q8N5I9,Q8N5I9,NOPC1_HUMAN,NOPCHAP1
,0.217841447,-0.101849238,P13674,P13674;P13674-2;P13674-3,P4HA1_HUMAN,P4HA1
,1.01980351,-0.102578481,P18031,P18031,PTN1_HUMAN,PTPN1
,0.445792097,-0.103310267,P62829,P62829,RL23_HUMAN,RPL23
,0.354781084,-0.103656133,Q05655;Q05655-2,Q05655;Q05655-2,KPCD_HUMAN,PRKCD
,0.387856464,-0.103735924,Q9P0U4;Q9P0U4-2,Q9P0U4;Q9P0U4-2,CXXC1_HUMAN,CXXC1
,1.346906639,-0.103853226,O75821,O75821,EIF3G_HUMAN,EIF3G
,0.360159096,-0.10410881,O95340;O95340-2,O95340;O95340-2,PAPS2_HUMAN,PAPSS2
,0.411956088,-0.104874293,Q8N490-2,Q8N490-2,PNKD_HUMAN,PNKD
,0.284708846,-0.105330149,Q96KA5;Q96KA5-2,Q96KA5;Q96KA5-2,CLP1L_HUMAN,CLPTM1L
,0.422612062,-0.105561574,P40692,P40692;P40692-3,MLH1_HUMAN,MLH1
,0.579409195,-0.106234233,Q8WUR7,Q8WUR7,CO040_HUMAN,C15orf40
,0.4040119,-0.106831868,O15269,O15269,SPTC1_HUMAN,SPTLC1
,0.613552149,-0.106859843,Q8WUH6,Q8WUH6,TM263_HUMAN,TMEM263
,0.106482385,-0.106979688,Q9NXG2,Q9NXG2,THUM1_HUMAN,THUMPD1
,0.669197023,-0.107205709,Q15392;Q15392-2,Q15392;Q15392-2,DHC24_HUMAN,DHCR24
,0.914453627,-0.108617147,Q16891;Q16891-2;Q16891-3;Q16891-4,Q16891;Q16891-2;Q16891-3;Q16891-4,MIC60_HUMAN,IMMT
,0.04337257,-0.108852386,Q8IUH4,Q8IUH4;Q8IUH4-2;Q8IUH4-3,ZDH13_HUMAN,ZDHHC13
,0.19361756,-0.109503428,O00767,O00767,SCD_HUMAN,SCD
,1.062449127,-0.110426585,P37837;P37837-2,P37837;P37837-2,TALDO_HUMAN,TALDO1
,0.356738209,-0.110474904,Q3SXM5,Q3SXM5;Q3SXM5-2,HSDL1_HUMAN,HSDL1
,0.774855816,-0.111141841,Q86TP1,Q86TP1,PRUN1_HUMAN,PRUNE1
,0.643199986,-0.111152649,P20700,P20700,LMNB1_HUMAN,LMNB1
,0.430842088,-0.111286163,Q9P2D6;Q9P2D6-2;Q9P2D6-3,Q9P2D6;Q9P2D6-2;Q9P2D6-3;Q9P2D6-4,F135A_HUMAN,FAM135A
,0.118988039,-0.112557411,Q7L1W4,Q7L1W4,LRC8D_HUMAN,LRRC8D
,0.558973367,-0.113966624,Q9UBD5;Q9UBD5-2,Q9UBD5;Q9UBD5-2;Q9UBD5-3,ORC3_HUMAN,ORC3
,0.711929612,-0.114957174,P29590;P29590-10;P29590-11;P29590-12;P29590-13;P29590-14;P29590-2;P29590-3;P29590-4;P29590-5;P29590-8;P29590-9,P29590;P29590-10;P29590-11;P29590-12;P29590-13;P29590-14;P29590-2;P29590-3;P29590-4;P29590-5;P29590-8;P29590-9,PML_HUMAN,PML
,0.288559319,-0.115365982,P07437,P04350;P07437;P68371,TBB5_HUMAN,TUBB
,0.286113139,-0.116586685,P42167,P42167;P42167-2,LAP2B_HUMAN,TMPO
,1.1138899,-0.117546082,Q96TA2;Q96TA2-2;Q96TA2-3,Q96TA2;Q96TA2-2;Q96TA2-3,YMEL1_HUMAN,YME1L1
,0.917741667,-0.117820104,Q14790;Q14790-2;Q14790-4;Q14790-9,Q14790;Q14790-2;Q14790-3;Q14790-4;Q14790-9,CASP8_HUMAN,CASP8
,0.374798566,-0.118017832,Q7L0Y3,Q7L0Y3,TM10C_HUMAN,TRMT10C
,0.307093251,-0.118427912,Q16880,Q16880,CGT_HUMAN,UGT8
,0.778417061,-0.118508657,Q8NE01,Q6P4Q7;Q8NE01,CNNM3_HUMAN,CNNM3
,1.796236586,-0.119178772,P24941,P24941;P24941-2,CDK2_HUMAN,CDK2
,0.108844611,-0.119837443,Q9BZG8;Q9BZG8-1,Q9BZG8;Q9BZG8-1;Q9BZG8-2,DPH1_HUMAN,DPH1
,0.281282489,-0.120260239,P35612;P35612-2;P35612-3;P35612-4;P35612-8;P35612-9,P35612;P35612-2;P35612-3;P35612-4;P35612-8;P35612-9,ADDB_HUMAN,ADD2
,0.437333536,-0.120430628,O14530,O14530;O14530-2,TXND9_HUMAN,TXNDC9
,1.415471588,-0.120515823,Q2NKX8,Q2NKX8,ERC6L_HUMAN,ERCC6L
,0.686971881,-0.120538712,O15287,O15287,FANCG_HUMAN,FANCG
,0.174121802,-0.120885849,Q6P1L5,Q6P1L5,F117B_HUMAN,FAM117B
,0.340118076,-0.12150383,Q9Y3D5,Q9Y3D5,RT18C_HUMAN,MRPS18C
,0.172069228,-0.121980667,Q16763,Q16763,UBE2S_HUMAN,UBE2S
,1.000393443,-0.122581482,Q13616,Q13616,CUL1_HUMAN,CUL1
,0.246479799,-0.122637113,Q9Y6H1,Q9Y6H1,CHCH2_HUMAN,CHCHD2
,1.149094457,-0.12319692,P13010,P13010,XRCC5_HUMAN,XRCC5
,0.76880725,-0.123209,Q9Y277;Q9Y277-2,Q9Y277;Q9Y277-2,VDAC3_HUMAN,VDAC3
,0.908608152,-0.123430888,P61224;P61224-2;P61224-3;P62834,A6NIZ1;P61224;P61224-2;P61224-3;P62834,RAP1A_HUMAN;RAP1B_HUMAN,RAP1A;RAP1B
,0.494350086,-0.123684565,Q13895,Q13895,BYST_HUMAN,BYSL
,0.841686713,-0.12412707,Q9HCU5,Q9HCU5,PREB_HUMAN,PREB
,0.047629498,-0.124217987,Q92530,Q92530,PSMF1_HUMAN,PSMF1
,0.730103582,-0.125263214,O75880,O75880,SCO1_HUMAN,SCO1
,2.168798559,-0.125570297,O00487,O00487,PSDE_HUMAN,PSMD14
,0.51947584,-0.125729879,P43490,P43490,NAMPT_HUMAN,NAMPT
,0.383965584,-0.126627286,P15291;P15291-2,P15291;P15291-2,B4GT1_HUMAN,B4GALT1
,0.707729488,-0.126808167,O76094;O76094-2,O76094;O76094-2,SRP72_HUMAN,SRP72
,1.122089704,-0.127058029,Q16531,Q16531,DDB1_HUMAN,DDB1
,0.350376591,-0.127060572,O43432;O43432-3,O43432;O43432-3;O43432-4,IF4G3_HUMAN,EIF4G3
,0.536921118,-0.127283096,Q8N5I2,Q8N5I2,ARRD1_HUMAN,ARRDC1
,0.368723828,-0.127619425,Q9H910;Q9H910-2;Q9H910-3,Q9H910;Q9H910-2;Q9H910-3,JUPI2_HUMAN,JPT2
,0.791283443,-0.128604253,Q9UBQ5;Q9UBQ5-2,Q9UBQ5;Q9UBQ5-2,EIF3K_HUMAN,EIF3K
,0.183370942,-0.128667196,Q5TC12;Q5TC12-3,Q5TC12;Q5TC12-2;Q5TC12-3,ATPF1_HUMAN,ATPAF1
,0.744832968,-0.129002889,O14654,O14654,IRS4_HUMAN,IRS4
,0.249983982,-0.129367828,P78417;P78417-2,P78417;P78417-2;P78417-3,GSTO1_HUMAN,GSTO1
,0.410977902,-0.129504522,Q9BQ75;Q9BQ75-2,Q9BQ75;Q9BQ75-2,CMS1_HUMAN,CMSS1
,0.420068773,-0.129559199,Q14573,Q14573,ITPR3_HUMAN,ITPR3
,0.731377412,-0.129570007,Q9H8H3,Q9H8H3,TMT1A_HUMAN,TMT1A
,0.538978335,-0.129751841,Q8IY18,Q8IY18,SMC5_HUMAN,SMC5
,0.923715322,-0.129778544,Q8TDP1,Q8TDP1,RNH2C_HUMAN,RNASEH2C
,0.748407066,-0.130067825,Q8N4H5,Q8N4H5,TOM5_HUMAN,TOMM5
,0.38200335,-0.130074183,P09543;P09543-2,P09543;P09543-2,CN37_HUMAN,CNP
,0.527828784,-0.130243301,Q8IYE0;Q8IYE0-2,Q8IYE0;Q8IYE0-2,CC146_HUMAN,CCDC146
,1.115316563,-0.130395253,P23921,P23921,RIR1_HUMAN,RRM1
,0.213825164,-0.131198247,O95197;O95197-2;O95197-3;O95197-4;O95197-5;O95197-6;O95197-7,O95197;O95197-2;O95197-3;O95197-4;O95197-5;O95197-6;O95197-7,RTN3_HUMAN,RTN3
,0.926191954,-0.131608963,O43447,O43447,PPIH_HUMAN,PPIH
,0.260567078,-0.131608963,Q9NYP9,Q9NYP9,MS18A_HUMAN,MIS18A
,0.220393437,-0.131978989,Q9NW13,Q9NW13;Q9NW13-2,RBM28_HUMAN,RBM28
,0.88554697,-0.132417679,P48556,P48556,PSMD8_HUMAN,PSMD8
,1.304213852,-0.132515589,Q99426,Q99426;Q99426-2,TBCB_HUMAN,TBCB
,0.595355901,-0.133079529,Q86Y07;Q86Y07-2;Q86Y07-3;Q86Y07-4;Q86Y07-5,Q86Y07;Q86Y07-2;Q86Y07-3;Q86Y07-4;Q86Y07-5,VRK2_HUMAN,VRK2
,0.203284581,-0.133159955,O75845,O75845,SC5D_HUMAN,SC5D
,0.408399769,-0.133833567,Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5,Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5,PDIA6_HUMAN,PDIA6
,0.902050626,-0.134910583,P07384,P07384,CAN1_HUMAN,CAPN1
,0.160086691,-0.1352005,Q9ULP9;Q9ULP9-2,Q9ULP9;Q9ULP9-2,TBC24_HUMAN,TBC1D24
,0.184614524,-0.135332425,P12109,P12109,CO6A1_HUMAN,COL6A1
,0.313842946,-0.135516485,O43920,O43920,NDUS5_HUMAN,NDUFS5
,0.30200515,-0.136146545,Q8IUH3;Q8IUH3-3,Q8IUH3;Q8IUH3-3,RBM45_HUMAN,RBM45
,0.627659016,-0.136228561,O43314;O43314-2,O43314;O43314-2,VIP2_HUMAN,PPIP5K2
,0.82294141,-0.136788686,Q8IVM0;Q8IVM0-2,Q8IVM0;Q8IVM0-2,CCD50_HUMAN,CCDC50
,1.525584285,-0.138697306,Q9BTT6,Q9BTT6,LRRC1_HUMAN,LRRC1
,0.887516373,-0.138820012,Q8IXI1,Q8IXI1,MIRO2_HUMAN,RHOT2
,0.106130539,-0.138978004,A0A3B3IU46;Q9BTL3,A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL
,1.33766777,-0.139930089,Q9BRZ2,Q9BRZ2;Q9BRZ2-2;Q9BRZ2-3,TRI56_HUMAN,TRIM56
,0.737545326,-0.1402963,Q13564;Q13564-2;Q13564-3;Q13564-4,Q13564;Q13564-2;Q13564-3;Q13564-4,ULA1_HUMAN,NAE1
,1.987255468,-0.14107132,O43819,O43819,SCO2_HUMAN,SCO2
,0.67161701,-0.141637166,P55036,A2A3N6;P55036;P55036-2,PSMD4_HUMAN,PSMD4
,0.712725883,-0.141888301,Q8N1G2,Q8N1G2,CMTR1_HUMAN,CMTR1
,0.510176831,-0.141984304,Q53G59;Q53G59-2,Q53G59;Q53G59-2,KLH12_HUMAN,KLHL12
,1.076928552,-0.142456055,P30101,P30101,PDIA3_HUMAN,PDIA3
,0.474491842,-0.142465591,Q6PKG0,Q659C4;Q659C4-2;Q659C4-5;Q659C4-6;Q659C4-7;Q6PKG0;Q6PKG0-3,LARP1_HUMAN,LARP1
,1.854065959,-0.142551422,Q9BTY7,Q9BTY7,HGH1_HUMAN,HGH1
,1.070187563,-0.143579483,P27986;P27986-4,O00459;P27986;P27986-2;P27986-3;P27986-4;P27986-5;Q92569;Q92569-2;Q92569-3,P85A_HUMAN,PIK3R1
,0.298225182,-0.143683116,P07203,P07203;P07203-2,GPX1_HUMAN,GPX1
,0.861354049,-0.143739065,Q9UFW8,Q9UFW8,CGBP1_HUMAN,CGGBP1
,0.499867445,-0.143822352,O14713,O14713,ITBP1_HUMAN,ITGB1BP1
,0.394695375,-0.143897374,P30405,P30405;P30405-2,PPIF_HUMAN,PPIF
,0.087225686,-0.143933296,Q12770;Q12770-2;Q12770-4,Q12770;Q12770-2;Q12770-4,SCAP_HUMAN,SCAP
,0.163776843,-0.144226074,O14602;P47813,O14602;P47813,IF1AX_HUMAN;IF1AY_HUMAN,EIF1AX;EIF1AY
,0.153942725,-0.144367854,O14656,O14656,TOR1A_HUMAN,TOR1A
,0.134135036,-0.144392014,Q9NXF7,Q9NXF7,DCA16_HUMAN,DCAF16
,1.057312345,-0.144710541,P62333,P62333,PRS10_HUMAN,PSMC6
,1.300215257,-0.144936244,P06493,P06493,CDK1_HUMAN,CDK1
,0.604795174,-0.146629333,P15954,P15954,COX7C_HUMAN,COX7C
,0.660792175,-0.146844228,Q13347,Q13347,EIF3I_HUMAN,EIF3I
,1.480042337,-0.147846222,P53803,P53803,RPAB4_HUMAN,POLR2K
,0.833247964,-0.148759842,P60604;P60604-2,P60604;P60604-2,UB2G2_HUMAN,UBE2G2
,0.504711073,-0.149152756,Q99442,Q99442,SEC62_HUMAN,SEC62
,0.824498466,-0.149515788,P10644,P10644;P10644-2,KAP0_HUMAN,PRKAR1A
,0.911866305,-0.149756114,O60313;O60313-10;O60313-11;O60313-13;O60313-2;O60313-9,O60313;O60313-10;O60313-11;O60313-13;O60313-2;O60313-9,OPA1_HUMAN,OPA1
,0.101168954,-0.150053024,Q16186,Q16186,ADRM1_HUMAN,ADRM1
,0.748934808,-0.150077184,O60488;O60488-2,O60488;O60488-2,ACSL4_HUMAN,ACSL4
,0.572019324,-0.150683085,P19388,P19388,RPAB1_HUMAN,POLR2E
,0.620951362,-0.15083758,Q96SB4;Q96SB4-3;Q96SB4-4,Q96SB4;Q96SB4-3;Q96SB4-4,SRPK1_HUMAN,SRPK1
,0.768397562,-0.150885264,O95602,O95602,RPA1_HUMAN,POLR1A
,1.049869716,-0.151453018,O95831;O95831-3,O95831;O95831-3;O95831-4,AIFM1_HUMAN,AIFM1
,0.799760745,-0.151770274,P35244,P35244,RFA3_HUMAN,RPA3
,2.666123208,-0.152283986,Q9HD45,Q9HD45,TM9S3_HUMAN,TM9SF3
,0.446801851,-0.15315183,P43897;P43897-2,P43897;P43897-2,EFTS_HUMAN,TSFM
,0.438446989,-0.154980659,Q9Y672,Q9Y672,ALG6_HUMAN,ALG6
,0.290500369,-0.155189514,Q92979,Q92979,NEP1_HUMAN,EMG1
,1.177087759,-0.155722936,Q14739,Q14739,LBR_HUMAN,LBR
,0.436616556,-0.155806224,Q15717;Q15717-2,Q15717;Q15717-2,ELAV1_HUMAN,ELAVL1
,0.441785866,-0.155845006,Q9UDX5,Q9UDX5,MTFP1_HUMAN,MTFP1
,1.506280263,-0.156436284,Q9Y5K5;Q9Y5K5-2;Q9Y5K5-3;Q9Y5K5-4,Q9Y5K5;Q9Y5K5-2;Q9Y5K5-3;Q9Y5K5-4,UCHL5_HUMAN,UCHL5
,0.113236298,-0.156804403,P82912;P82912-2,P82912;P82912-2;P82912-3,RT11_HUMAN,MRPS11
,0.291012723,-0.15711085,Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4,Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4,AT11C_HUMAN,ATP11C
,0.909631577,-0.157141368,P56385,P56385,ATP5I_HUMAN,ATP5ME
,0.976383088,-0.157391866,Q92692;Q92692-2,Q92692;Q92692-2,NECT2_HUMAN,NECTIN2
,0.776993651,-0.157506943,O43663;O43663-2;O43663-3;O43663-4,O43663;O43663-2;O43663-3;O43663-4,PRC1_HUMAN,PRC1
,0.651215162,-0.157560984,Q12849;Q12849-5,Q12849;Q12849-5,GRSF1_HUMAN,GRSF1
,0.432240382,-0.158549627,Q5JVF3;Q5JVF3-2;Q5JVF3-3;Q5JVF3-4,Q5JVF3;Q5JVF3-2;Q5JVF3-3;Q5JVF3-4,PCID2_HUMAN,PCID2
,1.072450558,-0.159483592,Q8N5K1,Q8N5K1,CISD2_HUMAN,CISD2
,1.036255796,-0.159702301,Q9BT73,Q9BT73,PSMG3_HUMAN,PSMG3
